OBJECTID,RouteIdentifier,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,NationalHighwaySystem,Length,LRSDate,GlobalID,SHAPESTLength
6375,420004590i,1.31599998474121,1.60699999332428,1,0.291000008583069,2021/12/31 00:00:00+00,{ED005B0A-93D0-4AF7-BCC9-2902E6B859C9},1534.19493628131
6376,720001500i,0.653999984264374,0.749000012874603,1,0.0949999988079071,2021/12/31 00:00:00+00,{ED537CB5-5444-4058-90BA-97E0C11AF403},501.013073677024
6377,420002450i,3.76300001144409,4.76300001144409,1,1,2021/12/31 00:00:00+00,{EE0513E1-759A-4D10-9C60-553D0A18B25F},5281.9860759102
6378,420004690i,0.804000020027161,1.42700004577637,1,0.623000025749207,2021/12/31 00:00:00+00,{EE241EBF-FAAF-431C-BC5C-7C4B8FE44BCB},3289.72621909613
6379,800000530i,1.16400003433228,1.28799998760223,1,0.123999997973442,2021/12/31 00:00:00+00,{EE722D13-3434-4A1B-B7E3-C02CE0C46833},654.845204032233
6380,140001050i,0.880999982357025,1.71099996566772,1,0.829999983310699,2021/12/31 00:00:00+00,{EEBDD1E6-E0CE-498E-B232-714A653285DC},4383.76768768961
6381,420007475i,0.500999987125397,0.870000004768372,7,0.368999987840652,2021/12/31 00:00:00+00,{EECFC0C5-7125-4362-B149-993E1D5C0F8B},1946.81011532317
6382,240000550i,0,0.386999994516373,1,0.386999994516373,2021/12/31 00:00:00+00,{F007B728-071B-4BBE-97FB-2168E7DA8C23},2043.71277667942
6383,420004920i,3.16100001335144,3.41599988937378,1,0.254999995231628,2021/12/31 00:00:00+00,{F03B6BA3-1431-4035-945C-F897E657A791},1346.10812437121
6384,700001820i,1.50399994850159,2.53999996185303,1,1.03600001335144,2021/12/31 00:00:00+00,{F08F960B-362F-413C-BFC0-5522A388EB4C},5469.41511459948
6385,820000490i,0,1.54100000858307,3,1.54100000858307,2021/12/31 00:00:00+00,{F0A6D0D3-A25D-48B6-A005-60D3ED8D4F3C},8133.67235316757
6386,860002140i,0,0.111000001430511,1,0.111000001430511,2021/12/31 00:00:00+00,{F1B9891A-7D06-4DD9-B54A-EE486A7418CE},583.750383584271
6387,420004980i,0.144999995827675,0.330000013113022,6,0.185000002384186,2021/12/31 00:00:00+00,{F1BEA0F8-6E23-43D8-A03A-BF9BFB63892B},976.091878175547
6388,420007280i,2.36100006103516,3.06800007820129,1,0.707000017166138,2021/12/31 00:00:00+00,{F205BFE2-E0AA-4F12-BAF9-FF1C9A3839F4},3731.60536181137
