Application: Application Number,Total Amount,Application Received Date,Vehicle Category,Vehicle Model,Vehicle Year,Date of Purchase,Purchase or Lease?,Applicant: Postal Code,Applicant: County
M-011928,"$2,500",10/19/2018,BEV,Tesla Model 3,2018,10/3/2018,Purchased,01775,Middlesex
M-011929,"$2,500",10/19/2018,BEV,Tesla Model 3,2018,8/15/2018,Purchased,02703,Bristol
M-011930,"$2,500",10/19/2018,BEV,Tesla Model 3,2018,9/29/2018,Purchased,01062,Hampshire
M-011932,"$2,500",10/20/2018,BEV,Tesla Model 3,2018,10/13/2018,Purchased,01907,Essex
M-011934,"$2,500",10/20/2018,PHEV+,Mitsubishi Outlander PHEV,2018,10/11/2018,Leased,01970,Essex
M-011935,"$2,500",10/20/2018,BEV,Chevrolet Bolt EV,2019,9/30/2018,Purchased,02536,Barnstable
M-011937,"$2,500",10/20/2018,PHEV+,Honda Clarity PHEV,2018,10/18/2018,Purchased,02453,Middlesex
M-011938,"$2,500",10/20/2018,PHEV+,Chevrolet Volt,2018,10/19/2018,Purchased,02474,Middlesex
M-011939,"$2,500",10/20/2018,PHEV+,Honda Clarity PHEV,2018,10/15/2018,Purchased,01945,Essex
M-011940,"$1,000",10/20/2018,BEV,Tesla Model S - 75 kWh,2018,10/12/2018,Purchased,01890,Middlesex
M-011941,"$2,500",10/20/2018,BEV,Tesla Model 3,2018,9/21/2018,Purchased,02169,Norfolk
M-011942,"$2,500",10/20/2018,PHEV+,Chrysler Pacifica,2018,10/9/2018,Purchased,02038,Norfolk
M-011945,"$2,500",10/20/2018,BEV,Tesla Model 3,2018,9/15/2018,Purchased,01756,Worcester
M-011946,"$2,500",10/20/2018,BEV,Chevrolet Bolt EV,2018,10/20/2018,Leased,02536,Barnstable
M-011947,"$2,500",10/20/2018,BEV,Tesla Model 3,2018,10/13/2018,Purchased,01550,Worcester
M-011948,"$1,500",10/20/2018,PHEV,Toyota Prius Prime,2018,10/20/2018,Purchased,02045,Plymouth
M-011949,"$2,500",10/20/2018,PHEV+,Honda Clarity PHEV,2018,10/14/2018,Purchased,01879,Middlesex
M-011950,"$2,500",10/20/2018,BEV,Tesla Model 3,2018,10/16/2018,Purchased,01890,Middlesex
M-011951,"$2,500",10/21/2018,BEV,Tesla Model 3,2018,10/20/2018,Purchased,01886,Middlesex
M-011952,"$2,500",10/21/2018,PHEV+,Chevrolet Volt,2018,10/14/2018,Purchased,01450,Middlesex
M-011953,"$2,500",10/21/2018,PHEV+,Chevrolet Volt,2018,10/20/2018,Leased,02180,Middlesex
M-011954,"$1,500",10/21/2018,PHEV,Toyota Prius Prime,2018,10/19/2018,Purchased,01778,Middlesex
M-011955,"$2,500",10/21/2018,BEV,Tesla Model 3,2018,10/13/2018,Purchased,01772,Worcester
M-011956,"$1,000",10/21/2018,BEV,Tesla Model X,2018,10/10/2018,Leased,02132,Suffolk
M-011957,"$2,500",10/21/2018,BEV,Tesla Model 3,2018,9/24/2018,Purchased,02130,Suffolk
M-011959,"$2,500",10/21/2018,PHEV+,Mitsubishi Outlander PHEV,2018,10/15/2018,Purchased,01501,Worcester
M-011961,"$1,000",10/21/2018,BEV,Tesla Model S 100 kWh,2018,9/17/2018,Purchased,01810,Essex
M-011964,"$2,500",10/21/2018,BEV,Tesla Model 3,2018,10/5/2018,Purchased,02474,Middlesex
M-011965,"$2,500",10/21/2018,BEV,Tesla Model 3,2018,10/20/2018,Leased,01930,Essex
M-011966,"$2,500",10/21/2018,BEV,Chevrolet Bolt EV,2019,9/28/2018,Purchased,01060,Hampshire
M-011967,"$2,500",10/21/2018,BEV,Tesla Model 3,2018,10/20/2018,Purchased,01035,Hampshire
M-011968,"$2,500",10/21/2018,BEV,Tesla Model 3,2018,10/1/2018,Purchased,01720,Middlesex
M-011969,"$2,500",10/21/2018,BEV,Tesla Model 3,2018,10/20/2018,Purchased,02048,Bristol
M-011970,"$1,500",10/21/2018,PHEV,Toyota Prius Prime,2018,10/21/2018,Purchased,02451,Middlesex
M-011971,"$2,500",10/21/2018,BEV,Tesla Model 3,2018,9/28/2018,Purchased,02171,Norfolk
M-011972,"$1,000",10/21/2018,BEV,Tesla Model X,2019,9/1/2018,Purchased,02038,Norfolk
M-011973,"$2,500",10/21/2018,BEV,Tesla Model 3,2018,10/3/2018,Purchased,01720,Middlesex
M-011974,"$2,500",10/21/2018,BEV,Tesla Model 3,2018,9/18/2018,Purchased,01040,Hampden
M-011975,"$2,500",10/21/2018,BEV,Tesla Model 3,2018,10/18/2018,Purchased,01801,Middlesex
M-011976,"$1,500",10/21/2018,PHEV,MINI Cooper SE Countryman ALL4,2019,10/13/2018,Purchased,02144,Middlesex
M-011977,"$2,500",10/21/2018,PHEV+,Honda Clarity PHEV,2018,10/17/2018,Purchased,01778,Middlesex
M-011978,"$2,500",10/21/2018,BEV,Tesla Model 3,2018,8/31/2018,Purchased,02132,Suffolk
M-011979,"$1,000",10/22/2018,BEV,Tesla Model S 100 kWh,2018,9/11/2018,Purchased,01545,Worcester
M-011980,"$1,500",10/22/2018,PHEV,Toyota Prius Prime,2018,9/29/2018,Purchased,01301,Franklin
M-011981,"$2,500",10/22/2018,BEV,Tesla Model 3,2018,9/27/2018,Purchased,02215,Suffolk
M-011982,"$1,000",10/22/2018,BEV,Tesla Model S - 75 kWh,2018,10/12/2018,Purchased,01886,Middlesex
M-011983,"$2,500",10/22/2018,BEV,Tesla Model 3,2018,10/17/2018,Purchased,01772,Worcester
M-011984,"$1,500",10/22/2018,PHEV,Toyota Prius Prime,2018,10/22/2018,Purchased,01059,Hampshire
M-011985,"$2,500",10/22/2018,PHEV+,Chrysler Pacifica,2018,9/20/2018,Purchased,01095,Hampden
M-011986,"$2,500",10/22/2018,BEV,BMW i3s,2018,10/20/2018,Leased,01908,Essex
M-011987,"$2,500",10/22/2018,PHEV+,Honda Clarity PHEV,2018,10/13/2018,Leased,02038,Norfolk
M-011988,"$1,500",10/22/2018,PHEV,Toyota Prius Prime,2018,10/13/2018,Purchased,01701,Middlesex
M-011989,"$2,500",10/22/2018,BEV,Tesla Model 3,2018,10/15/2018,Purchased,02143,Middlesex
M-011991,"$2,500",10/22/2018,PHEV+,Chevrolet Volt,2018,9/29/2018,Purchased,02048,Bristol
M-011994,"$2,500",10/22/2018,BEV,Tesla Model 3,2018,10/22/2018,Purchased,01801,Middlesex
M-011995,"$1,000",10/22/2018,BEV,Tesla Model X,2018,9/29/2018,Purchased,01906,Essex
M-011996,"$2,500",10/22/2018,BEV,BMW i3 REx,2018,10/18/2018,Leased,01240,Berkshire
M-011997,"$2,500",10/22/2018,BEV,Chevrolet Bolt EV,2019,10/21/2018,Purchased,02045,Plymouth
M-011998,"$2,500",10/22/2018,PHEV+,Mitsubishi Outlander PHEV,2018,10/22/2018,Purchased,02176,Middlesex
M-011999,"$2,500",10/22/2018,BEV,Chevrolet Bolt EV,2019,10/22/2018,Purchased,02481,Norfolk
M-012000,"$2,500",10/22/2018,PHEV+,Honda Clarity PHEV,2018,10/22/2018,Leased,01463,Middlesex
M-012001,"$2,500",10/22/2018,BEV,Tesla Model 3,2018,10/20/2018,Purchased,02476,Middlesex
M-012002,"$1,000",10/22/2018,BEV,Tesla Model X,2018,9/29/2018,Purchased,01741,Middlesex
M-012003,"$1,000",10/22/2018,BEV,Tesla Model X,2018,9/10/2018,Purchased,01002,Hampshire
M-012004,"$2,500",10/22/2018,BEV,Tesla Model 3,2018,10/20/2018,Purchased,02478,Middlesex
M-012005,"$2,500",10/23/2018,PHEV+,Chrysler Pacifica,2018,10/22/2018,Purchased,01267,Berkshire
M-012006,"$1,000",10/23/2018,BEV,Tesla Model X,2018,9/29/2018,Purchased,01040,Hampden
M-012007,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,10/17/2018,Purchased,02035,Norfolk
M-012008,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,9/26/2018,Purchased,01886,Middlesex
M-012009,"$1,000",10/23/2018,BEV,Tesla Model S - 75 kWh,2018,10/19/2018,Purchased,01876,Middlesex
M-012010,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,9/15/2018,Purchased,02474,Middlesex
M-012011,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,9/27/2018,Purchased,02210,Suffolk
M-012012,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,9/28/2018,Purchased,01742,Middlesex
M-012013,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,10/18/2018,Purchased,02176,Middlesex
M-012014,"$1,500",10/23/2018,PHEV,MINI Cooper SE Countryman ALL4,2019,9/19/2018,Leased,02118,Suffolk
M-012015,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,10/13/2018,Purchased,01776,Middlesex
M-012016,"$1,500",10/23/2018,PHEV,BMW 530e xDrive iPerformance,2018,9/25/2018,Purchased,01118,Hampden
M-012017,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,10/22/2018,Purchased,02043,Plymouth
M-012018,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,7/26/2018,Purchased,01864,Middlesex
M-012019,"$2,500",10/23/2018,PHEV+,Honda Clarity PHEV,2018,10/22/2018,Purchased,02648,Barnstable
M-012020,"$2,500",10/23/2018,PHEV+,Mitsubishi Outlander PHEV,2018,9/24/2018,Leased,01301,Franklin
M-012021,"$1,500",10/23/2018,PHEV,Toyota Prius Prime,2018,10/16/2018,Purchased,01450,Middlesex
M-012022,"$2,500",10/23/2018,BEV,Chevrolet Bolt EV,2019,10/22/2018,Purchased,02466,Middlesex
M-012023,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,10/23/2018,Purchased,02446,Norfolk
M-012024,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,10/4/2018,Purchased,02118,Suffolk
M-012025,"$2,500",10/23/2018,PHEV+,Honda Clarity PHEV,2018,10/15/2018,Leased,02045,Plymouth
M-012026,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,10/22/2018,Purchased,02144,Middlesex
M-012027,"$1,500",10/23/2018,PHEV,Toyota Prius Prime,2018,10/23/2018,Purchased,02767,Bristol
M-012028,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,10/23/2018,Purchased,01907,Essex
M-012029,"$2,500",10/23/2018,PHEV+,Honda Clarity PHEV,2018,9/20/2018,Purchased,02169,Norfolk
M-012030,"$2,500",10/23/2018,BEV,Chevrolet Bolt EV,2019,10/20/2018,Purchased,01773,Middlesex
M-012032,"$2,500",10/23/2018,BEV,Tesla Model 3,2018,10/8/2018,Purchased,02215,Suffolk
M-012033,"$2,500",10/23/2018,PHEV+,Honda Clarity PHEV,2018,10/23/2018,Purchased,01721,Middlesex
M-012034,"$2,500",10/24/2018,PHEV+,Honda Clarity PHEV,2018,10/20/2018,Leased,01720,Middlesex
M-012035,"$1,000",10/24/2018,BEV,Tesla Model S 100 kWh,2017,6/28/2018,Leased,02026,Norfolk
M-012036,"$2,500",10/24/2018,BEV,Tesla Model 3,2018,10/23/2018,Purchased,02139,Middlesex
M-012037,"$2,500",10/24/2018,BEV,Nissan LEAF S,2018,10/9/2018,Leased,02180,Middlesex
M-012038,"$1,500",10/24/2018,PHEV,Toyota Prius Prime,2018,9/27/2018,Purchased,02139,Middlesex
M-012040,"$1,500",10/24/2018,PHEV,Toyota Prius Prime,2018,10/17/2018,Purchased,01879,Middlesex
M-012041,"$2,500",10/24/2018,BEV,Tesla Model 3,2018,10/8/2018,Purchased,01518,Worcester
M-012042,"$1,500",10/24/2018,PHEV,Toyota Prius Prime,2018,9/6/2018,Purchased,01089,Hampden
M-012043,"$2,500",10/24/2018,PHEV+,Mitsubishi Outlander PHEV,2018,10/18/2018,Purchased,02150,Suffolk
M-012044,"$1,500",10/24/2018,PHEV,Toyota Prius Prime,2018,9/21/2018,Purchased,01945,Essex
M-012046,"$2,500",10/24/2018,BEV,Nissan LEAF SL,2019,10/24/2018,Leased,02067,Norfolk
M-012047,"$2,500",10/24/2018,BEV,Smart Electric Fortwo Coupe,2017,9/30/2018,Leased,02360,Plymouth
M-012048,"$2,500",10/24/2018,BEV,Tesla Model 3,2018,10/24/2018,Purchased,01720,Middlesex
M-012049,"$2,500",10/24/2018,BEV,Nissan LEAF S,2018,10/24/2018,Leased,01093,Franklin
M-012050,"$2,500",10/24/2018,BEV,Nissan LEAF S,2018,10/24/2018,Purchased,01760,Middlesex
M-012051,"$2,500",10/24/2018,BEV,Tesla Model 3,2018,10/24/2018,Purchased,01030,Hampden
M-012052,"$2,500",10/24/2018,BEV,Chevrolet Bolt EV,2019,10/20/2018,Purchased,02140,Middlesex
M-012053,"$2,500",10/25/2018,PHEV+,Honda Clarity PHEV,2018,10/15/2018,Leased,02341,Plymouth
M-012054,"$2,500",10/25/2018,BEV,Tesla Model 3,2018,10/13/2018,Purchased,01701,Middlesex
M-012055,"$2,500",10/25/2018,PHEV+,Chevrolet Volt,2018,10/24/2018,Purchased,02062,Norfolk
M-012056,"$2,500",10/25/2018,PHEV+,Chevrolet Volt,2018,10/23/2018,Leased,01867,Middlesex
M-012057,"$1,500",10/25/2018,PHEV,BMW 330e,2018,10/15/2018,Leased,02476,Middlesex
M-012059,"$1,500",10/25/2018,PHEV,Toyota Prius Prime,2018,10/23/2018,Purchased,01778,Middlesex
M-012060,"$2,500",10/25/2018,BEV,Tesla Model 3,2018,10/20/2018,Purchased,02482,Norfolk
M-012061,"$1,000",10/25/2018,PHEV,Volvo XC60 T8,2018,10/13/2018,Purchased,02451,Middlesex
M-012062,"$1,500",10/25/2018,PHEV,Toyota Prius Prime,2018,10/19/2018,Purchased,02472,Middlesex
M-012064,"$1,500",10/25/2018,PHEV,Toyota Prius Prime,2018,10/25/2018,Purchased,01370,Franklin
M-012065,"$2,500",10/25/2018,BEV,Chevrolet Bolt EV,2018,10/24/2018,Leased,02494,Norfolk
M-012066,"$2,500",10/25/2018,PHEV+,Chevrolet Volt,2018,10/23/2018,Purchased,02468,Middlesex
M-012067,"$2,500",10/25/2018,BEV,Tesla Model 3,2018,10/25/2018,Purchased,02445,Norfolk
M-012068,"$1,000",10/25/2018,BEV,Tesla Model S 100 kWh,2018,9/12/2018,Purchased,01540,Worcester
M-012069,"$1,500",10/25/2018,PHEV,Toyota Prius Prime,2018,10/25/2018,Purchased,02330,Plymouth
M-012070,"$2,500",10/25/2018,BEV,Tesla Model 3,2018,9/25/2018,Purchased,01775,Middlesex
M-012071,"$2,500",10/25/2018,PHEV+,Honda Clarity PHEV,2018,10/18/2018,Purchased,02155,Middlesex
M-012072,"$2,500",10/25/2018,BEV,Tesla Model 3,2018,10/12/2018,Purchased,01826,Middlesex
M-012073,"$2,500",10/25/2018,BEV,Tesla Model 3,2018,10/25/2018,Purchased,02459,Middlesex
M-012074,"$2,500",10/25/2018,PHEV+,Honda Clarity PHEV,2018,10/25/2018,Leased,02135,Suffolk
M-012075,"$2,500",10/25/2018,BEV,Nissan LEAF S,2019,10/23/2018,Leased,02130,Suffolk
M-012076,"$2,500",10/25/2018,BEV,Tesla Model 3,2018,10/18/2018,Purchased,02420,Middlesex
M-012077,"$2,500",10/25/2018,BEV,Tesla Model 3,2018,9/28/2018,Purchased,01560,Worcester
M-012078,"$2,500",10/26/2018,PHEV+,Chrysler Pacifica,2018,8/18/2018,Purchased,02118,Suffolk
M-012079,"$2,500",10/26/2018,PHEV+,Honda Clarity PHEV,2018,10/25/2018,Purchased,01440,Worcester
M-012081,"$2,500",10/26/2018,BEV,Tesla Model 3,2018,10/25/2018,Purchased,02127,Suffolk
M-012083,"$2,500",10/26/2018,BEV,Tesla Model 3,2018,10/25/2018,Purchased,01760,Middlesex
M-012084,"$2,500",10/26/2018,PHEV+,Chevrolet Volt,2018,10/23/2018,Leased,02360,Plymouth
M-012085,"$2,500",10/26/2018,BEV,Chevrolet Bolt EV,2019,10/25/2018,Purchased,02176,Middlesex
M-012087,"$2,500",10/26/2018,BEV,Tesla Model 3,2018,10/26/2018,Purchased,01720,Middlesex
M-012088,"$1,500",10/26/2018,PHEV,Toyota Prius Prime,2018,10/18/2018,Purchased,01569,Worcester
M-012089,"$2,500",10/26/2018,BEV,Tesla Model 3,2018,10/26/2018,Purchased,01450,Middlesex
M-012090,"$1,500",10/26/2018,PHEV,Toyota Prius Prime,2018,8/30/2018,Purchased,02420,Middlesex
M-012091,"$2,500",10/26/2018,BEV,Tesla Model 3,2018,10/25/2018,Purchased,01760,Middlesex
M-012092,"$2,500",10/26/2018,PHEV+,Honda Clarity PHEV,2018,10/22/2018,Purchased,01860,Essex
M-012093,"$1,500",10/26/2018,PHEV,Toyota Prius Prime,2018,10/12/2018,Purchased,01603,Worcester
M-012094,"$2,500",10/26/2018,BEV,Tesla Model 3,2018,9/22/2018,Purchased,02482,Norfolk
M-012095,"$2,500",10/26/2018,PHEV+,Honda Clarity PHEV,2018,10/19/2018,Purchased,01730,Middlesex
M-012096,"$2,500",10/26/2018,PHEV+,Chevrolet Volt,2018,10/23/2018,Leased,01770,Middlesex
M-012097,"$2,500",10/26/2018,BEV,Tesla Model 3,2018,10/26/2018,Purchased,02460,Middlesex
M-012098,"$1,500",10/27/2018,PHEV,Kia Niro Plug-in Hybrid,2019,10/26/2018,Purchased,01824,Middlesex
M-012099,"$1,500",10/27/2018,PHEV,Toyota Prius Prime,2018,10/20/2018,Purchased,02493,Middlesex
M-012100,"$2,500",10/27/2018,PHEV+,Honda Clarity PHEV,2018,10/20/2018,Purchased,02472,Middlesex
M-012101,"$2,500",10/27/2018,BEV,Nissan LEAF SL,2018,10/25/2018,Purchased,01523,Worcester
M-012102,"$2,500",10/27/2018,PHEV+,Honda Clarity PHEV,2018,10/24/2018,Leased,02151,Suffolk
M-012104,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,10/18/2018,Purchased,01719,Middlesex
M-012105,"$2,500",10/27/2018,BEV,Chevrolet Bolt EV,2019,10/21/2018,Purchased,02186,Norfolk
M-012106,"$1,000",10/27/2018,BEV,Tesla Model S - 75 kWh,2018,10/5/2018,Purchased,01760,Middlesex
M-012107,"$2,500",10/27/2018,PHEV+,Honda Clarity PHEV,2018,10/27/2018,Leased,02459,Middlesex
M-012108,"$1,500",10/27/2018,PHEV,Toyota Prius Prime,2018,10/18/2018,Purchased,01002,Hampshire
M-012109,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,9/29/2018,Purchased,02445,Norfolk
M-012110,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,10/26/2018,Purchased,01773,Middlesex
M-012111,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,10/26/2018,Purchased,01776,Middlesex
M-012112,"$1,000",10/27/2018,BEV,Tesla Model S - 75 kWh,2018,9/28/2018,Purchased,01730,Middlesex
M-012113,"$2,500",10/27/2018,PHEV+,Chevrolet Volt,2019,10/24/2018,Purchased,01742,Middlesex
M-012114,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,01720,Middlesex
M-012115,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,02148,Middlesex
M-012116,"$2,500",10/27/2018,BEV,Chevrolet Bolt EV,2019,10/24/2018,Purchased,01904,Essex
M-012117,"$2,500",10/27/2018,BEV,Chevrolet Bolt EV,2019,10/25/2018,Purchased,01772,Worcester
M-012118,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,01890,Middlesex
M-012120,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,02026,Norfolk
M-012121,"$2,500",10/27/2018,PHEV+,Mitsubishi Outlander PHEV,2018,10/23/2018,Leased,01887,Middlesex
M-012122,"$1,500",10/27/2018,PHEV,Kia Niro Plug-in Hybrid,2018,8/25/2018,Purchased,01341,Franklin
M-012123,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,10/8/2018,Purchased,02138,Middlesex
M-012124,"$1,000",10/27/2018,BEV,Tesla Model X,2018,8/1/2018,Leased,02462,Middlesex
M-012125,"$1,500",10/27/2018,PHEV,Toyota Prius Prime,2018,10/24/2018,Purchased,01032,Hampshire
M-012127,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,02038,Norfolk
M-012128,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,02492,Norfolk
M-012129,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,01773,Middlesex
M-012130,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,01776,Middlesex
M-012131,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,9/27/2018,Purchased,02138,Middlesex
M-012132,"$2,500",10/27/2018,BEV,Chevrolet Bolt EV,2019,10/26/2018,Purchased,01440,Worcester
M-012133,"$2,500",10/27/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,01776,Middlesex
M-012134,"$2,500",10/27/2018,BEV,Chevrolet Bolt EV,2019,10/27/2018,Purchased,01824,Middlesex
M-012135,"$1,000",10/27/2018,BEV,Tesla Model S - 75 kWh,2018,10/27/2018,Purchased,01776,Middlesex
M-012136,"$2,500",10/27/2018,PHEV+,Chevrolet Volt,2018,10/20/2018,Purchased,01451,Worcester
M-012137,"$2,500",10/27/2018,BEV,Chevrolet Bolt EV,2019,10/27/2018,Leased,02446,Norfolk
M-012139,"$2,500",10/27/2018,BEV,Nissan LEAF S,2019,10/18/2018,Purchased,01545,Worcester
M-012140,"$1,500",10/28/2018,PHEV,BMW 530e xDrive iPerformance,2019,10/27/2018,Purchased,02446,Norfolk
M-012141,"$2,500",10/28/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,02375,Bristol
M-012142,"$2,500",10/28/2018,BEV,Tesla Model 3,2018,9/12/2018,Purchased,01950,Essex
M-012143,"$1,500",10/28/2018,PHEV,Toyota Prius Prime,2018,10/26/2018,Purchased,02124,Suffolk
M-012144,"$2,500",10/28/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,02467,Middlesex
M-012145,"$2,500",10/28/2018,BEV,Smart Electric Fortwo Coupe,2018,10/19/2018,Leased,02143,Middlesex
M-012146,"$1,000",10/28/2018,BEV,Tesla Model S 100 kWh,2018,9/26/2018,Purchased,01803,Middlesex
M-012147,"$2,500",10/28/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,02493,Middlesex
M-012148,"$2,500",10/28/2018,BEV,Tesla Model 3,2018,10/23/2018,Purchased,01002,Hampshire
M-012149,"$1,500",10/28/2018,PHEV,Toyota Prius Prime,2018,8/31/2018,Purchased,01742,Middlesex
M-012150,"$2,500",10/28/2018,PHEV+,Honda Clarity PHEV,2018,10/26/2018,Leased,02339,Plymouth
M-012151,"$2,500",10/28/2018,PHEV+,Chevrolet Volt,2018,8/14/2018,Purchased,02135,Suffolk
M-012152,"$1,500",10/28/2018,PHEV,Toyota Prius Prime,2018,10/22/2018,Purchased,01960,Essex
M-012153,"$1,500",10/28/2018,PHEV,Toyota Prius Prime,2018,10/20/2018,Purchased,01770,Middlesex
M-012154,"$1,000",10/28/2018,BEV,Tesla Model S - 75 kWh,2018,7/21/2018,Purchased,01770,Middlesex
M-012155,"$2,500",10/28/2018,PHEV+,Chevrolet Volt,2018,10/28/2018,Leased,02445,Norfolk
M-012156,"$2,500",10/28/2018,BEV,Tesla Model 3,2018,8/28/2018,Purchased,02138,Middlesex
M-012157,"$2,500",10/28/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,02494,Norfolk
M-012159,"$2,500",10/28/2018,PHEV+,Honda Clarity PHEV,2018,10/28/2018,Leased,01119,Hampden
M-012160,"$2,500",10/28/2018,PHEV+,Honda Clarity PHEV,2018,10/27/2018,Leased,01119,Hampden
M-012161,"$2,500",10/28/2018,PHEV+,Honda Clarity PHEV,2018,10/26/2018,Leased,01886,Middlesex
M-012162,"$2,500",10/28/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,01742,Middlesex
M-012163,"$2,500",10/28/2018,BEV,Tesla Model 3,2018,10/26/2018,Purchased,01301,Franklin
M-012164,"$2,500",10/28/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,01810,Essex
M-012165,"$2,500",10/28/2018,PHEV+,Honda Clarity PHEV,2018,10/27/2018,Purchased,02171,Norfolk
M-012166,"$2,500",10/28/2018,PHEV+,Chrysler Pacifica,2018,10/27/2018,Purchased,02131,Suffolk
M-012167,"$2,500",10/29/2018,PHEV+,Chevrolet Volt,2018,10/27/2018,Leased,02062,Norfolk
M-012168,"$1,000",10/29/2018,BEV,Tesla Model X,2018,10/23/2018,Purchased,01776,Middlesex
M-012169,"$2,500",10/29/2018,BEV,Nissan LEAF SV,2018,10/21/2018,Purchased,02043,Plymouth
M-012170,"$2,500",10/29/2018,PHEV+,Chrysler Pacifica,2018,10/24/2018,Purchased,02155,Middlesex
M-012173,"$2,500",10/29/2018,BEV,Tesla Model 3,2018,10/26/2018,Purchased,01462,Worcester
M-012175,"$1,500",10/29/2018,PHEV,Toyota Prius Prime,2018,9/5/2018,Purchased,01886,Middlesex
M-012176,"$2,500",10/29/2018,BEV,Tesla Model 3,2018,10/26/2018,Purchased,01940,Essex
M-012177,"$2,500",10/29/2018,BEV,Volkswagen e-Golf,2018,10/27/2018,Purchased,01740,Worcester
M-012178,"$2,500",10/29/2018,BEV,Tesla Model 3,2018,10/29/2018,Purchased,02339,Plymouth
M-012180,"$2,500",10/29/2018,BEV,Tesla Model 3,2018,10/26/2018,Purchased,01748,Middlesex
M-012181,"$2,500",10/29/2018,BEV,Tesla Model 3,2018,10/1/2018,Purchased,02148,Middlesex
M-012183,"$2,500",10/29/2018,PHEV+,Chevrolet Volt,2018,10/17/2018,Purchased,02048,Bristol
M-012184,"$2,500",10/29/2018,BEV,Nissan LEAF SV,2018,10/23/2018,Leased,02675,Barnstable
M-012185,"$2,500",10/29/2018,PHEV+,Honda Clarity PHEV,2018,10/27/2018,Leased,02375,Bristol
M-012186,"$2,500",10/29/2018,PHEV+,Honda Clarity PHEV,2018,10/29/2018,Purchased,01826,Middlesex
M-012187,"$1,500",10/29/2018,PHEV,Toyota Prius Prime,2018,10/26/2018,Purchased,02131,Suffolk
M-012188,"$2,500",10/29/2018,BEV,Tesla Model 3,2018,10/27/2018,Purchased,02458,Middlesex
M-012189,"$2,500",10/29/2018,BEV,Chevrolet Bolt EV,2017,12/22/2017,Leased,01545,Worcester
M-012190,"$2,500",10/29/2018,BEV,Tesla Model 3,2018,10/29/2018,Purchased,01742,Middlesex
M-012191,"$2,500",10/29/2018,BEV,Tesla Model 3,2018,10/13/2018,Purchased,02021,Norfolk
M-012192,"$2,500",10/29/2018,BEV,Tesla Model 3,2018,10/29/2018,Purchased,01821,Middlesex
M-012193,"$2,500",10/29/2018,BEV,Tesla Model 3,2018,10/29/2018,Purchased,01890,Middlesex
M-012194,"$2,500",10/29/2018,BEV,Nissan LEAF SV,2018,10/28/2018,Purchased,02476,Middlesex
M-012195,"$2,500",10/29/2018,PHEV+,Honda Clarity PHEV,2018,10/7/2018,Purchased,02131,Suffolk
M-012196,"$2,500",10/29/2018,PHEV+,Honda Clarity PHEV,2018,10/29/2018,Leased,01583,Worcester
M-012197,"$2,500",10/29/2018,BEV,Chevrolet Bolt EV,2018,8/10/2018,Leased,02139,Middlesex
M-012198,"$2,500",10/29/2018,BEV,Nissan LEAF SV,2018,10/29/2018,Leased,02657,Barnstable
M-012199,"$2,500",10/29/2018,BEV,Tesla Model 3,2018,10/20/2018,Purchased,02478,Middlesex
M-012200,"$2,500",10/29/2018,BEV,Tesla Model 3,2018,10/29/2018,Purchased,01940,Essex
M-012201,"$2,500",10/30/2018,BEV,Chevrolet Bolt EV,2019,10/26/2018,Purchased,01867,Middlesex
